Matériaux,Type,Qualité,Quantité,Notes
Agricium,Minable Vaisseaux,796,"0,36",
Agricium,Minable Vaisseaux,852,1,
Agricium,Minable Vaisseaux,852,"0,693",
Tungsten,Minable Vaisseaux,363,12,
Tungsten,Minable Vaisseaux,363,"0,09",
Tungsten,Minable Vaisseaux,530,"0,606",
Tungsten,Minable Vaisseaux,662,1,
Tungsten,Minable Vaisseaux,662,"0,083",
Tungsten,Minable Vaisseaux,964,2,
Tungsten,Minable Vaisseaux,964,"0,192",
Corundum,Minable Vaisseaux,504,4,
Corundum,Minable Vaisseaux,504,2,
Corundum,Minable Vaisseaux,504,1,
Corundum,Minable Vaisseaux,504,"0,043",
Corundum,Minable Vaisseaux,665,8,
Corundum,Minable Vaisseaux,665,1,
Corundum,Minable Vaisseaux,665,"0,467",
Corundum,Minable Vaisseaux,793,2,
Corundum,Minable Vaisseaux,793,"0,656",
Janalite,Minable Geo,269,25,
Janalite,Minable Geo,596,30,
Janalite,Minable Geo,898,5,
Quantanium,Minable Vaisseaux,344,"0,787",
Beryl,Minable Vaisseaux,547,1,
Beryl,Minable Vaisseaux,547,"0,25",
Beryl,Minable Vaisseaux,717,"0,05",
Beryl,Minable Vaisseaux,860,1,
Beryl,Minable Vaisseaux,860,"0,938",
Beryl,Minable Vaisseaux,937,"0,28",
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,839",
Quantanium,Minable Vaisseaux,762,"0,3",
Beryl,Minable Vaisseaux,547,"0,209",
Quantanium,Minable Vaisseaux,344,1,
Beryl,Minable Vaisseaux,324,"0,817",
Quantanium,Minable Vaisseaux,514,2,
Quantanium,Minable Vaisseaux,514,1,
Quantanium,Minable Vaisseaux,514,"0,184",
Quantanium,Minable Vaisseaux,669,"0,499",
Beryl,Minable Vaisseaux,547,"0,559",
Beryl,Minable Vaisseaux,860,1,
Beryl,Minable Vaisseaux,860,"0,017",
Aslarite,Minable Vaisseaux,287,4,
Aslarite,Minable Vaisseaux,287,1,
Aslarite,Minable Vaisseaux,287,"0,654",
Beryl,Minable Vaisseaux,324,12,
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,694",
Quantanium,Minable Vaisseaux,669,"0,32",
Tin,Minable Vaisseaux,537,"0,64",
Copper,Minable Vaisseaux,855,"0,455",
Ice,Minable Vaisseaux,873,2,
Ice,Minable Vaisseaux,873,"0,31",
Beryl,Minable Vaisseaux,547,"0,276",
Ice,Minable Vaisseaux,322,4,
Ice,Minable Vaisseaux,322,"0,582",
Iron,Minable Vaisseaux,874,1,
Iron,Minable Vaisseaux,874,"0,058",
Quantanium,Minable Vaisseaux,344,4,
Quantanium,Minable Vaisseaux,344,"0,517",
Quantanium,Minable Vaisseaux,669,1,
Quantanium,Minable Vaisseaux,669,"0,145",
Tin,Minable Vaisseaux,664,"0,312",
Copper,Minable Vaisseaux,855,"0,794",
Beryl,Minable Vaisseaux,547,"0,325",
Quantanium,Minable Vaisseaux,344,"0,183",
Quantanium,Minable Vaisseaux,514,"0,675",
Beryl,Minable Vaisseaux,547,"0,587",
Quantanium,Minable Vaisseaux,514,2,
Quantanium,Minable Vaisseaux,514,1,
Quantanium,Minable Vaisseaux,514,"0,576",
Beryl,Minable Vaisseaux,717,"0,82",
Quantanium,Minable Vaisseaux,514,2,
Quantanium,Minable Vaisseaux,514,"0,075",
Quantanium,Minable Vaisseaux,901,"0,391",
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,"0,174",
Quantanium,Minable Vaisseaux,514,"0,305",
Beryl,Minable Vaisseaux,547,"0,407",
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,316",
Quantanium,Minable Vaisseaux,669,"0,632",
Beryl,Minable Vaisseaux,547,"0,519",
Agricium,Minable Vaisseaux,588,"0,317",
Quantanium,Minable Vaisseaux,344,4,
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,462",
Quantanium,Minable Vaisseaux,514,"0,554",
Quantanium,Minable Vaisseaux,669,"0,485",
Beryl,Minable Vaisseaux,547,"0,699",
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,635",
Quantanium,Minable Vaisseaux,514,1,
Quantanium,Minable Vaisseaux,514,"0,019",
Titanium,Minable Vaisseaux,516,"0,521",
Beryl,Minable Vaisseaux,547,"0,619",
Aslarite,Minable Vaisseaux,927,"0,664",
Torite,Minable Vaisseaux,262,"0,178",QV Breaker 30/08/2026
Torite,Minable Vaisseaux,528,1,QV Breaker 30/08/2026
Torite,Minable Vaisseaux,528,"0,063",QV Breaker 30/08/2026
Torite,Minable Vaisseaux,661,"0,154",QV Breaker 30/08/2026
Torite,Minable Vaisseaux,785,"0,001",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,322,8,QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,322,1,QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,322,"0,821",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,580,"0,24",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,636,"0,228",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,776,"0,226",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,878,"0,018",QV Breaker 30/08/2026
Savrilium,Minable Vaisseaux,905,"0,111",QV Breaker 30/08/2026
Dolivine,Minable Geo,577,2,QV Breaker 30/08/2026
Glacosite,Minable Geo,567,6,QV Breaker 30/08/2026
Sadaryx,Minable Geo,688,8,QV Breaker 30/08/2026
Sadaryx,Minable Geo,797,2,QV Breaker 30/08/2026
Sadaryx,Minable Geo,510,7,QV Breaker 30/08/2026
Quantanium,Minable Vaisseaux,344,"0,058",
Beryl,Minable Vaisseaux,677,"0,476",
Quantanium,Minable Vaisseaux,669,"0,372",
Quantanium,Minable Vaisseaux,344,"0,56",
Quantanium,Minable Vaisseaux,344,2,
Beryl,Minable Vaisseaux,547,"0,386",
Quantanium,Minable Vaisseaux,762,"0,368",
Quantanium,Minable Vaisseaux,344,"0,427",
Quantanium,Minable Vaisseaux,344,2,
Beryl,Minable Vaisseaux,547,"0,735",
Quantanium,Minable Vaisseaux,669,"0,599",
Quantanium,Minable Vaisseaux,344,4,
Beryl,Minable Vaisseaux,547,"0,323",
Beryl,Minable Vaisseaux,547,1,
Quantanium,Minable Vaisseaux,669,"0,856",
Quantanium,Minable Vaisseaux,514,"0,432",
Quantanium,Minable Vaisseaux,344,"0,296",
Quantanium,Minable Vaisseaux,344,8,
